Unique_Seq_ID	Cleavage_State	Terminus_State	Protein_Name	Protein_Expectation_Value_Log(e)	Protein_Intensity_Log(I)
1	2	0	g7566.t1		
2	2	0	g6245.t1		
3	2	0	g4623.t1		
4	2	0	g2345.t1		
5	2	0	g4623.t1		
6	2	0	g8490.t2		
7	2	0	g8595.t1		
8	2	0	g1406.t1		
9	2	0	g11304.t1		
10	2	0	g10387.t1		
11	2	0	g9364.t1		
12	2	0	g1432.t1		
13	2	0	g3951.t1		
14	2	0	g1525.t1		
15	2	0	g1823.t1		
16	2	0	g2428.t1		
17	2	0	g5246.t1		
18	2	0	g11407.t1		
19	2	0	g338.t1		
20	2	0	g2158.t1		
21	2	0	g11149.t1		
21	2	0	g11149.t2		
22	2	0	g5861.t1		
23	2	0	g4072.t1		
24	2	0	g2428.t1		
25	2	0	g1108.t1		
26	2	0	g2712.t1		
26	2	0	g2712.t3		
27	2	0	g6222.t1		
28	2	0	g11144.t1		
29	2	0	g1061.t1		
30	2	0	g4444.t1		
31	2	0	g419.t1		
32	2	0	g1406.t1		
33	2	0	g2324.t1		
34	2	0	g10927.t1		
35	2	0	g7662.t1		
36	2	0	g10119.t1		
37	2	0	g3650.t1		
38	2	0	g9643.t1		
39	2	0	g2054.t1		
40	2	0	g1799.t1		
41	2	0	g3040.t1		
42	2	0	g5798.t1		
43	2	0	g6812.t1		
44	2	0	g1323.t1		
45	2	0	g3478.t1		
45	2	0	XP_001217977		
46	2	0	g1277.t1		
47	2	0	g1577.t1		
48	2	0	g3527.t1		
49	2	0	g6865.t1		
50	2	0	g1050.t1		
51	2	0	g7885.t1		
52	2	0	g4245.t1		
53	2	0	g5003.t1		
54	2	0	g1406.t1		
55	2	0	g3252.t1		
56	2	0	g6821.t1		
57	2	0	g7578.t1		
58	2	0	g5236.t1		
59	2	0	g6653.t1		
60	2	0	g10046.t1		
61	2	0	g5107.t1		
62	1	0	g2043.t1		
63	2	0	g7566.t1		
64	2	0	g6312.t1		
65	2	0	g9388.t1		
66	2	0	g7690.t1		
67	2	0	g7690.t1		
68	2	0	g1906.t1		
69	2	0	g9791.t1		
70	2	0	g137.t1		
71	2	0	g9388.t1		
72	2	0	g11151.t1		
73	2	0	g2812.t1		
74	2	0	g5383.t1		
74	2	0	g5383.t2		
75	2	0	g465.t1		
76	2	0	g9667.t1		
76	2	0	g9667.t2		
77	2	0	g3345.t1		
78	2	0	g4268.t1		
79	2	0	g4468.t1		
80	2	0	g10377.t1		
80	2	0	g10377.t2		
81	2	0	g9936.t1		
82	2	0	g3852.t1		
83	2	0	g8329.t1		
84	2	0	g2941.t1		
85	2	0	g10114.t1		
86	2	0	g10046.t1		
87	2	0	g9791.t1		
88	2	0	g7678.t1		
89	1	0	g9058.t1		
90	2	0	g9045.t1		
91	2	0	g3527.t1		
92	2	0	g4728.t1		
93	2	0	g10159.t1		
94	2	0	g7820.t1		
95	2	0	g7885.t1		
96	2	0	g6214.t1		
97	2	0	g465.t1		
98	2	0	g5518.t1		
99	2	0	g5940.t1		
100	2	0	g3295.t1		
101	2	0	g10693.t1		
102	2	0	g2347.t1		
102	2	0	g2347.t2		
103	2	0	g6821.t1		
104	2	0	g9757.t1		
105	2	0	g8632.t1		
106	2	0	g7808.t1		
107	2	0	g4878.t1		
108	2	0	g9667.t1		
108	2	0	g9667.t2		
109	2	0	g5635.t1		
110	2	0	g8183.t1		
111	2	0	g3611.t1		
112	2	0	g8420.t1		
113	2	0	g7392.t1		
114	2	0	g4328.t1		
115	2	0	g1067.t1		
116	2	0	g63.t1		
117	2	0	g7392.t1		
118	2	0	g7966.t1		
119	2	0	g825.t1		
120	2	0	g10023.t1		
121	2	0	g9746.t1		
122	2	0	g746.t1		
123	2	1	g3264.t1		
124	1	0	g2836.t1		
125	2	0	g1061.t1		
126	2	0	g5076.t1		
127	2	0	g10159.t1		
128	2	0	g7909.t1		
129	2	0	g1906.t1		
130	2	0	g10483.t1		
131	2	0	g4393.t1		
132	2	0	g430.t1		
133	2	0	g5972.t1		
134	2	1	g3264.t1		
135	2	0	g6214.t1		
136	2	0	g3039.t1		
137	2	0	g2509.t1		
138	2	0	g8849.t1		
139	2	0	g7566.t1		
140	2	0	g3345.t1		
141	2	0	g10924.t1		
142	2	0	g123.t1		
143	2	0	g1060.t1		
144	2	0	g10387.t1		
145	2	0	g10021.t1		
146	2	0	g3416.t1		
147	2	0	g7684.t1		
147	2	0	g7684.t2		
148	2	0	g2898.t1		
149	2	0	g192.t1		
150	2	0	g7020.t1		
151	2	0	g4412.t1		
152	2	0	g1906.t1		
153	2	0	g1200.t1		
154	2	0	g4684.t1		
155	2	0	g63.t1		
156	2	0	g9791.t1		
157	2	0	g7908.t1		
158	2	0	g6818.t1		
159	2	0	g5865.t1		
160	2	0	g10114.t1		
161	2	0	g8097.t1		
162	2	0	g6512.t1		
163	2	0	g9810.t1		
164	2	0	g8329.t1		
165	2	0	g5055.t1		
165	2	0	g5055.t2		
166	2	0	g7340.t1		
167	2	0	g4684.t1		
168	2	0	g5972.t1		
169	2	0	g3320.t1		
170	2	0	g6576.t1		
171	2	0	g4755.t1		
172	2	0	g5611.t1		
173	2	0	g958.t1		
174	1	0	g4684.t1		
175	2	0	g9653.t1		
176	2	0	g11100.t1		
177	2	0	g2728.t1		
178	2	0	g4684.t1		
179	2	0	g2324.t1		
180	2	0	g6200.t1		
181	2	0	g1277.t1		
182	1	0	g8911.t1		
183	2	0	g8075.t1		
184	2	0	g7392.t1		
185	2	0	g3439.t1		
186	2	0	g5383.t1		
187	2	0	g8631.t1		
188	2	0	g8317.t1		
189	2	0	g10885.t1		
190	2	0	g1712.t1		
191	2	0	g5292.t1		
192	2	0	g4714.t1		
193	2	0	g10822.t1		
194	2	0	g8632.t1		
195	2	0	g329.t1		
196	2	0	g7392.t1		
197	2	0	g5635.t1		
198	2	0	g3016.t2		
199	2	0	g3852.t1		
200	2	0	g1200.t1		
201	2	0	g1598.t1		
202	2	0	g958.t1		
203	2	0	g8907.t1		
204	2	0	g1061.t1		
205	2	0	g955.t1		
206	2	0	g10692.t1		
207	2	0	g6821.t1		
208	2	0	g465.t1		
209	2	0	g3345.t1		
210	2	0	g2196.t1		
211	2	0	g1907.t1		
212	2	0	g1406.t1		
213	2	0	g1717.t1		
214	2	0	g8456.t1		
215	2	0	g10427.t1		
216	2	0	g8490.t1		
216	2	0	g8490.t2		
217	2	0	g3345.t1		
218	2	0	g1300.t1		
219	2	0	g3345.t1		
220	2	0	g10148.t1		
221	2	0	g8128.t1		
222	2	0	g5699.t1		
223	2	0	g10102.t1		
224	2	0	g7997.t1		
225	2	0	g10688.t1		
226	2	0	g2166.t1		
227	2	0	g2812.t1		
228	2	0	g3623.t1		
229	2	0	g1406.t1		
230	2	0	g7820.t1		
231	2	0	g3320.t1		
232	2	0	g8035.t1		
233	2	0	g9798.t1		
234	2	0	g3951.t1		
235	2	0	g5942.t1		
236	2	0	g9972.t1		
237	2	0	g4393.t1		
238	2	0	g7997.t1		
239	2	0	g2845.t1		
240	2	0	g5383.t1		
241	2	0	g474.t1		
242	2	0	g3320.t1		
243	2	0	g7578.t1		
244	2	0	g4444.t1		
245	2	0	g10637.t1		
246	2	0	g8128.t1		
247	2	0	g10103.t1		
248	2	0	g10159.t1		
249	2	0	g6302.t1		
250	2	0	g7712.t1		
251	2	0	g7997.t1		
252	2	0	g1638.t1		
253	2	0	g4878.t1		
254	2	0	g10640.t1		
255	2	0	g10292.t2		
256	2	0	g6214.t1		
257	2	0	g3436.t1		
258	2	0	g7610.t1		
259	2	0	g9757.t1		
260	1	0	g11285.t1		
260	1	0	g11285.t2		
261	2	0	g9775.t1		
262	2	0	g3016.t2		
263	2	0	g1786.t1		
264	2	0	g2128.t1		
264	2	0	g2128.t2		
265	2	0	g9374.t1		
266	2	0	g10159.t1		
267	2	0	g9645.t1		
268	2	0	g1414.t1		
269	2	0	g10925.t1		
270	2	0	g2661.t1		
271	2	0	g2595.t1		
272	2	0	g6274.t1		
273	2	0	g11221.t1		
274	2	0	g11054.t1		
275	2	0	g1246.t1		
276	2	0	g3932.t1		
277	2	0	g4245.t1		
278	2	0	g2891.t1		
279	2	0	g7409.t1		
280	1	0	g8632.t1		
281	2	0	g4329.t1		
282	2	0	g1276.t1		
283	2	0	g4728.t1		
284	2	0	g4745.t1		
285	2	0	g8632.t1		
286	2	0	g6908.t1		
287	2	0	g667.t1		
287	2	0	g667.t2		
288	2	0	g11162.t1		
289	2	0	g6135.t1		
289	2	0	g6135.t2		
290	2	0	g5632.t1		
291	2	0	g5632.t1		
292	2	0	g154.t1		
293	2	0	g813.t1		
294	2	0	g7741.t1		
295	2	0	g3039.t1		
296	2	0	g5555.t1		
297	2	0	g3650.t1		
298	2	0	g3652.t1		
299	2	0	g1906.t1		
300	2	0	g8090.t1		
301	2	0	g5831.t1		
302	2	0	g1943.t1		
303	2	0	g7566.t1		
304	2	0	g7676.t1		
305	2	0	g3650.t1		
306	2	0	g3623.t1		
307	2	0	g7853.t1		
308	2	0	g11145.t1		
309	2	0	g4728.t1		
310	2	0	g9419.t1		
311	2	0	g717.t1		
311	2	0	g717.t2		
312	2	0	g3425.t1		
313	2	0	g2809.t1		
314	2	0	g717.t1		
314	2	0	g717.t2		
315	2	0	g7820.t1		
316	2	0	g3345.t1		
317	2	0	g10391.t1		
318	2	0	g8632.t1		
319	2	0	g1414.t1		
320	2	0	g6682.t1		
321	2	0	g10023.t1		
321	2	0	g10023.t2		
322	2	0	g10870.t1		
322	2	0	g10870.t2		
323	2	0	g9385.t2		
324	2	0	g2661.t1		
325	2	0	g8420.t1		
326	2	0	g3775.t1		
327	2	0	g7009.t1		
328	2	0	g7885.t1		
329	2	0	g9810.t1		
330	2	0	g7148.t1		
331	2	0	g8128.t1		
332	2	0	g11221.t1		
333	2	0	g4245.t1		
334	2	0	g1607.t1		
335	2	0	g1774.t1		
336	2	0	g4520.t1		
337	2	0	g7682.t1		
338	2	0	g9388.t1		
339	2	0	g2324.t1		
340	2	0	g2809.t1		
341	2	0	g4268.t1		
342	2	0	g7909.t1		
343	2	0	g913.t1		
344	2	0	g8849.t1		
345	2	0	g3295.t1		
346	2	0	g6653.t1		
347	2	0	g9605.t1		
348	2	0	g5839.t1		
349	2	0	g357.t1		
350	2	0	g4378.t1		
351	2	0	g2661.t1		
352	2	0	g2912.t1		
352	2	0	g2912.t2		
353	2	0	g7875.t1		
354	2	0	g7392.t1		
355	2	0	g2941.t1		
356	2	0	g8193.t1		
357	2	0	g10688.t1		
358	2	0	g9250.t1		
358	2	0	g9250.t2		
359	2	0	g7676.t1		
360	2	0	g1276.t1		
361	2	0	g6135.t1		
362	2	0	g10159.t1		
363	2	0	g6123.t1		
364	2	0	g10157.t1		
365	2	0	g5820.t1		
366	2	0	g6821.t1		
367	2	0	g5373.t1		
368	2	0	g7315.t1		
369	2	0	g3349.t1		
370	2	0	g7049.t1		
371	2	0	g7564.t1		
372	2	0	g8817.t1		
373	2	0	g2912.t1		
373	2	0	g2912.t2		
374	2	0	g10424.t1		
375	2	0	g6818.t1		
376	2	0	g2683.t1		
377	2	0	g11093.t1		
378	2	0	g10618.t1		
378	2	0	g10618.t2		
379	2	0	g8014.t1		
380	2	0	g4520.t1		
381	1	0	g338.t1		
382	2	0	g10593.t1		
383	2	0	g9388.t1		
384	2	0	g1065.t1		
385	2	0	g8849.t1		
386	2	0	g6302.t1		
387	2	0	g4714.t1		
388	2	0	g8799.t1		
388	2	0	g8799.t2		
389	2	0	g3320.t1		
390	2	0	g6200.t1		
391	2	0	g6222.t1		
392	2	0	g4808.t1		
393	2	0	g3564.t1		
394	2	0	g2157.t1		
395	2	0	g23.t1		
396	2	0	g9791.t1		
397	2	0	g5099.t1		
398	2	0	g7199.t1		
399	2	0	g3951.t1		
400	2	0	g3425.t1		
401	2	0	g5055.t1		
401	2	0	g5055.t2		
402	2	0	g2885.t1		
403	2	0	g10159.t1		
404	2	0	g11304.t1		
405	2	0	g5941.t1		
406	2	0	g9340.t1		
407	2	0	g6212.t1		
408	2	0	g3575.t1		
409	2	0	g7272.t1		
410	2	2	g746.t1		
411	2	0	g6274.t1		
412	2	0	g7662.t1		
413	2	0	g2573.t1		
414	2	0	g11016.t1		
415	2	0	g8180.t1		
416	2	0	g7866.t1		
417	2	0	g5474.t1		
418	2	0	g2812.t1		
419	2	0	g4721.t1		
420	2	0	g10159.t1		
421	2	0	g2885.t1		
422	2	0	g625.t1		
423	2	0	g1061.t1		
424	2	0	g4901.t1		
425	2	0	g4808.t1		
426	2	0	g9663.t1		
427	2	0	Contaminant_K1C9_HUMAN		
428	2	0	g5820.t1		
429	2	0	g3511.t1		
430	2	0	g7578.t1		
431	2	0	g7182.t1		
432	2	0	g5107.t1		
433	2	0	g10377.t1		
433	2	0	g10377.t2		
434	2	0	g3439.t1		
435	2	0	g8595.t1		
436	2	0	g914.t1		
437	2	0	g8420.t1		
438	2	0	g9434.t1		
439	2	0	g11216.t1		
440	2	0	g10159.t1		
441	2	0	g7348.t1		
442	2	0	g11049.t1		
443	2	0	g9374.t1		
444	2	0	g9277.t3		
445	2	0	g693.t1		
446	2	0	g2734.t1		
447	2	0	g6775.t1		
448	2	0	g9789.t1		
448	2	0	g9789.t2		
449	2	0	g9972.t1		
450	2	0	g1944.t1		
451	2	0	g10159.t1		
452	2	0	g10394.t1		
453	2	0	g7199.t1		
454	2	0	g4423.t1		
455	2	0	g7231.t1		
456	2	0	g7820.t1		
457	2	0	g3164.t1		
458	2	0	g4728.t1		
459	2	0	g4892.t1		
460	1	0	g2088.t1		
461	2	0	g8632.t1		
462	2	0	g1717.t1		
463	2	0	g5651.t1		
464	2	0	g8437.t1		
465	2	0	g3575.t1		
466	2	0	g4824.t1		
467	2	0	g3547.t1		
468	2	0	g4578.t1		
469	2	0	g3345.t1		
470	2	0	g1823.t1		
471	2	0	g6123.t1		
472	2	0	g5158.t1		
473	2	0	g3662.t1		
474	1	0	g6459.t1		
475	2	0	g9684.t1		
476	2	0	g9323.t1		
477	2	0	g4728.t1		
478	2	0	g1406.t1		
479	2	0	g2809.t1		
480	2	0	g1716.t1		
481	2	0	g3140.t1		
482	2	0	g5767.t1		
483	2	0	g240.t1		
484	2	0	g10148.t1		
485	2	0	g612.t1		
486	2	0	g6123.t1		
487	2	0	g1799.t1		
488	2	0	g6819.t1		
489	2	0	g7564.t1		
490	2	0	g11151.t1		
491	2	0	g3345.t1		
492	2	0	g4575.t1		
493	2	0	g4901.t1		
494	2	0	g563.t1		
495	2	0	g12.t1		
496	2	0	g2898.t1		
497	2	0	g9517.t1		
498	2	0	g5588.t1		
499	2	0	g3575.t1		
500	2	0	g3245.t1		
500	2	0	g3245.t2		
501	2	0	g2152.t1		
502	2	0	g2157.t1		
503	2	0	g2150.t1		
504	2	0	g9319.t1		
505	2	0	g9517.t1		
506	2	0	g10377.t1		
506	2	0	g10377.t2		
507	2	0	g11145.t1		
508	2	0	g5968.t1		
509	2	0	g4623.t1		
510	1	0	g123.t1		
511	2	2	g11093.t1		
512	2	0	g2809.t1		
513	2	0	g9605.t1		
514	2	0	g9762.t1		
515	2	0	g3650.t1		
516	2	0	g5611.t1		
517	2	0	g240.t1		
518	2	0	g11407.t1		
519	1	0	g1086.t1		
520	2	0	g10403.t1		
521	2	0	g7566.t1		
522	2	0	g10413.t1		
523	2	0	g8799.t1		
524	2	0	g10159.t1		
525	2	0	g6222.t1		
526	2	0	g3349.t1		
527	1	0	g4072.t1		
528	2	0	g1907.t1		
529	2	0	g9722.t1		
530	2	0	g8632.t1		
531	2	0	g836.t1		
532	2	0	g7348.t1		
533	2	0	g8632.t1		
534	2	0	g3345.t1		
535	2	0	g10159.t1		
536	2	0	g63.t1		
537	2	0	g8259.t1		
538	2	0	g2824.t1		
539	2	0	g5038.t1		
540	2	0	g15.t1		
541	2	0	g8504.t1		
542	2	0	g11040.t1		
543	2	0	g5632.t1		
544	2	0	g3650.t1		
545	2	0	g6718.t1		
546	2	0	g3650.t1		
547	2	0	g4878.t1		
548	2	0	g10046.t1		
549	2	0	g6063.t1		
550	2	0	g1562.t1		
551	2	0	g6436.t1		
552	2	0	g5651.t1		
553	2	0	g784.t1		
554	2	0	g11065.t1		
555	2	0	g3527.t1		
556	2	0	g10355.t1		
557	2	0	g10159.t1		
558	2	0	g9810.t1		
559	2	0	g3652.t1		
560	2	0	g7985.t1		
561	2	0	g118.t1		
562	2	0	g7662.t1		
563	2	0	g5158.t1		
564	2	0	g5530.t1		
565	2	0	g2595.t1		
566	2	0	g3439.t1		
567	2	0	g8849.t1		
568	2	0	g2885.t1		
569	2	0	g5038.t1		
570	2	0	g7564.t1		
571	2	0	g123.t1		
572	2	0	g6624.t1		
573	2	0	g10387.t1		
574	2	0	g3989.t1		
575	2	0	g8490.t1		
575	2	0	g8490.t2		
576	2	0	g10589.t1		
577	2	0	g7566.t1		
578	2	0	g240.t1		
579	2	0	g11239.t1		
580	2	0	g3140.t1		
581	2	0	g6576.t1		
582	2	0	g7315.t1		
583	2	0	g4824.t1		
584	2	0	g7690.t1		
585	2	0	g6222.t1		
586	2	0	g3951.t1		
587	2	0	g2345.t1		
588	2	0	g7741.t1		
589	2	0	g3989.t1		
590	2	0	g7741.t1		
591	2	0	g10314.t1		
592	2	0	g8854.t1		
593	2	0	g2196.t1		
594	2	0	g7712.t1		
595	2	0	g7350.t1		
596	2	0	g9512.t1		
597	2	0	g8490.t1		
597	2	0	g8490.t2		
598	2	0	g1525.t1		
599	2	0	g3623.t1		
600	2	0	g11151.t1		
601	2	0	g4322.t1		
602	2	0	g7199.t1		
603	2	0	g2898.t1		
604	2	0	g4763.t1		
605	2	0	g11040.t1		
606	2	0	g8849.t1		
607	2	0	g1907.t1		
608	2	0	g3320.t1		
609	2	0	g3164.t1		
610	2	0	g9746.t1		
611	2	0	g10387.t1		
612	1	0	g4595.t1		
613	2	0	g9746.t1		
614	2	0	g7564.t1		
615	2	0	g3164.t1		
616	2	0	g6459.t1		
617	2	0	g7196.t1		
618	2	0	g2886.t1		
619	2	0	g5224.t1		
620	2	0	g6174.t1		
621	2	0	g768.t1		
622	2	0	g3204.t1		
623	2	0	g880.t1		
624	2	0	g11016.t1		
625	2	0	g4520.t1		
626	2	0	g4957.t1		
627	2	0	g6018.t1		
628	2	0	g10693.t1		
629	2	0	g7473.t1		
630	2	0	g9302.t1		
631	2	0	g2809.t1		
632	2	0	g6274.t1		
633	2	0	g909.t1		
634	2	0	g3542.t1		
635	2	0	g10170.t1		
636	2	0	g4423.t1		
637	2	0	g3295.t1		
638	2	0	g7696.t1		
638	2	0	g7696.t2		
639	2	0	g8035.t1		
640	2	0	g11065.t1		
641	2	0	g1358.t1		
642	2	0	g728.t1		
643	2	0	g6480.t1		
644	2	0	g4629.t1		
645	2	0	g8036.t1		
646	2	0	g10691.t2		
647	2	0	g1786.t1		
648	2	0	g9374.t1		
649	2	0	g9605.t1		
650	1	0	g10442.t1		
651	2	0	g1717.t1		
652	2	0	g9434.t1		
653	2	0	g3320.t1		
654	2	0	g6438.t1		
655	2	0	g9419.t1		
656	2	0	g3650.t1		
657	2	0	g11040.t1		
658	2	0	g7820.t1		
659	2	0	g3650.t1		
660	2	0	g338.t1		
661	2	0	g282.t1		
662	2	0	g7455.t1		
663	2	0	g6999.t1		
664	2	0	g11167.t1		
664	2	0	g11167.t2		
665	2	0	g4623.t1		
666	2	0	g140.t1		
666	2	0	g140.t2		
667	2	0	g2911.t1		
668	2	0	g2907.t1		
669	2	0	g6088.t1		
670	2	0	g3547.t1		
671	2	0	g5820.t1		
672	2	0	g6536.t1		
673	2	0	g7738.t1		
674	2	0	g4901.t1		
675	2	0	g9725.t1		
675	2	0	g9725.t2		
676	2	0	g6935.t1		
677	2	0	g1108.t1		
678	2	0	g10924.t1		
679	2	0	g1402.t1		
680	2	0	g10159.t1		
681	2	0	g8099.t1		
682	2	0	g1944.t1		
683	2	0	g8291.t1		
684	2	0	g8074.t1		
685	2	0	g2809.t1		
686	2	0	g9438.t1		
687	2	0	g3953.t1		
688	2	0	g7610.t1		
689	2	0	g7712.t1		
690	2	0	g4643.t1		
691	2	0	g3454.t1		
692	2	0	g8035.t1		
693	2	0	g854.t1		
694	2	0	g4567.t2		
695	2	0	g12.t1		
696	2	0	g9385.t1		
696	2	0	g9385.t2		
697	2	0	g2785.t1		
698	2	0	g1902.t1		
699	2	0	g11040.t1		
700	2	0	g1001.t1		
701	2	0	g5831.t1		
702	1	0	g9788.t1		
703	2	0	g1913.t1		
704	2	0	g2300.t1		
704	2	0	g2300.t2		
705	2	0	g4121.t2		
705	2	0	g4121.t3		
706	2	0	g3073.t1		
707	2	0	g910.t1		
708	2	0	g10924.t1		
709	2	0	g3016.t1		
709	2	0	g3016.t2		
710	2	0	g7792.t1		
711	2	0	g10377.t1		
711	2	0	g10377.t2		
712	2	0	g6331.t1		
713	2	0	g2661.t1		
714	2	0	g7350.t1		
715	2	0	g9374.t1		
716	2	0	g9336.t1		
717	2	0	g6695.t1		
718	2	0	g854.t1		
719	2	0	g4790.t1		
720	2	0	g3349.t1		
721	2	0	g2661.t1		
722	2	0	g3989.t1		
723	2	0	g9972.t1		
724	2	0	g8849.t1		
725	2	0	g717.t1		
725	2	0	g717.t2		
726	1	0	g7636.t1		
727	2	0	g4516.t1		
728	2	0	g9011.t2		
728	2	0	g9011.t1		
729	2	0	g11149.t1		
729	2	0	g11149.t2		
730	2	0	g1116.t1		
730	2	0	g1116.t2		
731	2	0	g5939.t1		
732	2	0	g52.t1		
733	2	0	g1721.t1		
734	2	0	g8490.t2		
735	2	0	g3956.t1		
736	2	0	g46.t1		
737	2	0	g3242.t1		
738	2	0	g1994.t1		
739	2	0	g1769.t1		
740	2	0	g5801.t1		
741	2	0	g8634.t1		
741	2	0	g8634.t2		
742	2	0	g10640.t1		
743	2	0	g2898.t1		
744	2	0	g7071.t1		
745	2	0	g8036.t1		
746	2	0	g9788.t1		
747	2	0	g1447.t1		
748	2	0	g6291.t1		
749	2	0	g2991.t1		
750	2	0	g10105.t1		
751	2	0	g4763.t1		
752	1	0	g6797.t1		
753	2	0	g10688.t1		
754	2	0	g10387.t1		
755	2	0	g8329.t1		
756	2	0	g4581.t1		
756	2	0	g4581.t2		
757	2	0	g7353.t1		
758	2	0	g6576.t1		
759	2	0	g10352.t1		
760	2	0	g7071.t1		
761	2	0	g7948.t1		
762	2	0	g6222.t1		
763	2	0	g3951.t1		
764	2	0	g6302.t1		
765	2	0	g4211.t1		
766	2	0	g7315.t1		
767	2	0	g5038.t1		
768	2	0	g2324.t1		
769	2	0	g2885.t1		
770	2	0	g6818.t1		
771	2	0	g7182.t1		
772	2	0	g6275.t1		
773	2	0	g11036.t1		
774	2	0	g5731.t1		
775	2	0	g8196.t1		
776	2	0	g9831.t1		
777	2	0	g7199.t1		
778	2	0	g5076.t1		
779	2	0	g9788.t1		
780	2	0	g9775.t1		
781	2	0	g5591.t1		
782	2	0	g1733.t1		
783	2	0	g5651.t1		
784	2	0	g7712.t1		
785	2	0	g693.t1		
786	1	0	g1968.t1		
787	2	0	g3721.t1		
788	2	0	g1246.t1		
789	2	0	g2736.t1		
790	2	0	g3663.t1		
791	2	0	g8632.t1		
792	2	0	g5821.t1		
793	2	0	g5632.t1		
794	2	0	g10703.t1		
795	2	0	g2740.t1		
796	2	0	g3801.t1		
797	2	0	g7595.t1		
798	2	0	g1216.t1		
799	2	0	g8282.t1		
800	2	2	g10121.t1		
801	2	0	g4878.t1		
802	2	0	g3516.t1		
803	2	0	g8432.t1		
804	2	0	g8733.t1		
804	2	0	g8733.t2		
805	2	0	g6706.t1		
806	2	0	g4643.t1		
807	2	0	g3204.t1		
808	2	0	g5666.t1		
809	2	0	g2585.t1		
810	2	0	g2026.t1		
811	2	0	g2423.t1		
811	2	0	g2423.t2		
812	2	0	g10021.t1		
813	2	0	g8812.t1		
814	2	0	g7853.t1		
815	2	0	g3650.t1		
816	2	0	g6302.t1		
817	2	0	g3245.t1		
817	2	0	g3245.t2		
818	2	0	g8036.t1		
819	2	0	g2661.t1		
820	2	0	g5053.t1		
821	2	0	g5038.t1		
822	2	0	g8796.t1		
823	2	0	g6285.t1		
824	2	0	g4878.t1		
825	2	0	g1041.t1		
826	2	0	g4121.t2		
826	2	0	g4121.t3		
827	2	0	g8817.t1		
828	2	0	g1733.t1		
829	2	0	g8035.t1		
830	2	0	g11145.t1		
831	2	0	g6653.t1		
832	2	0	g7966.t1		
833	2	0	g2642.t1		
833	2	0	g2642.t2		
834	2	0	g10483.t1		
835	2	0	g17.t1		
836	2	0	g338.t1		
837	2	0	g6356.t1		
838	2	0	g3432.t1		
839	2	0	g7853.t1		
840	2	0	g9058.t1		
841	2	1	g3264.t1		
842	2	0	g7948.t1		
843	2	0	g3320.t1		
844	2	0	g6682.t1		
845	2	0	g7123.t1		
845	2	0	g7123.t3		
846	2	0	g10427.t1		
847	2	0	g2531.t1		
848	2	0	g8634.t1		
848	2	0	g8634.t2		
849	2	0	g9672.t1		
850	2	0	g11213.t1		
851	2	0	g4127.t1		
852	2	0	g2885.t1		
853	2	0	g9765.t1		
854	2	0	g2898.t1		
855	2	0	g11213.t1		
856	2	0	g267.t1		
857	2	0	g8036.t1		
858	2	0	g9775.t1		
859	2	0	g910.t1		
860	2	0	g7966.t1		
861	2	0	g8490.t1		
861	2	0	g8490.t2		
862	2	0	g1406.t1		
863	2	0	g4184.t1		
863	2	0	g4184.t2		
864	2	0	g7909.t1		
865	2	0	g964.t1		
866	2	0	g4884.t1		
867	2	0	g9459.t1		
868	2	0	g8457.t1		
869	2	0	g6908.t1		
870	2	0	g5939.t1		
871	2	0	g3461.t1		
872	2	0	g10387.t1		
873	2	0	g3349.t1		
874	2	0	g4595.t1		
875	2	0	g9775.t1		
876	2	0	g6865.t1		
877	2	0	g10159.t1		
878	2	0	g12.t1		
879	2	0	g1994.t1		
880	2	0	g7071.t1		
881	2	0	g4599.t1		
882	2	0	g2376.t1		
883	2	0	g3650.t1		
884	2	0	g8034.t1		
885	2	0	g4249.t1		
886	2	0	g7886.t1		
887	2	0	g6063.t1		
888	2	0	g2661.t1		
889	2	0	g4595.t1		
890	2	0	g2595.t1		
891	2	0	g10119.t1		
892	2	0	g4172.t1		
893	2	0	g5521.t1		
894	2	0	g6685.t1		
895	2	0	g4456.t1		
895	2	0	g4456.t2		
896	2	0	g7786.t1		
897	2	0	g3989.t1		
898	2	0	g2891.t1		
899	2	0	g1559.t1		
900	2	0	g5038.t1		
901	2	0	g5097.t1		
902	2	0	g1052.t1		
903	2	0	g717.t1		
903	2	0	g717.t2		
904	2	0	g10703.t1		
905	2	0	g6653.t1		
906	2	0	g11065.t1		
907	2	0	g8031.t1		
908	2	0	g1824.t1		
909	2	0	g2661.t1		
910	2	0	g7261.t1		
911	2	0	g8171.t1		
912	2	0	g338.t1		
913	2	0	g8817.t1		
914	2	0	g467.t1		
915	2	0	g11031.t1		
916	2	0	g3947.t1		
917	2	0	g3425.t1		
918	2	0	g1235.t1		
918	2	0	g1235.t3		
919	2	0	g1236.t1		
